x,y,z,yaw,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk,pitch,roll,yaw,thrust,xd,yd,zd
-0.6484,0.034,0.0367,0.0197222205475,[[-0.64866426]],[[ 0.03396574]],[[ 0.03677167]],[[-0.00511872]],[[-0.00316718]],[[ 0.00159399]],[[ 0.00652721]],[[-0.01125358]],[[ 6.53568027]],[[ 0.35065256]],[[-0.00652721]],[[ 78.07693509]],[[ 0.64842874]],[[-0.03819895]],[[ 0.36322833]]
-0.6484,0.034,0.0367,0.0197222205475,[[-0.64861353]],[[ 0.03395537]],[[ 0.03675931]],[[-0.00449688]],[[-0.0030372]],[[ 0.00142128]],[[ 0.00896375]],[[ 0.00644177]],[[ 6.52807028]],[[ 0.36771168]],[[-0.00896375]],[[ 78.08670713]],[[ 0.64828311]],[[-0.03976794]],[[ 0.36324069]]
-0.6482,0.0349,0.0365,0.0137881010908,[[-0.64851193]],[[ 0.03423667]],[[ 0.03668608]],[[-0.00365288]],[[-0.00124244]],[[ 0.00091779]],[[ 0.00991847]],[[ 0.01233241]],[[ 6.51805489]],[[ 0.39460978]],[[-0.00991847]],[[ 78.11705303]],[[ 0.64814046]],[[-0.04066712]],[[ 0.36331392]]
-0.6482,0.0349,0.0365,0.0137881010908,[[-0.64843813]],[[ 0.03443821]],[[ 0.03663344]],[[-0.00305149]],[[ -7.61966516e-05]],[[ 0.0005808]],[[ 0.01072621]],[[ 0.01665356]],[[ 6.51083578]],[[ 0.41347912]],[[-0.01072621]],[[ 78.13754593]],[[ 0.64803144]],[[-0.04139137]],[[ 0.36336656]]
-0.6482,0.0349,0.0365,0.0137881010908,[[-0.64838431]],[[ 0.03458265]],[[ 0.03659553]],[[-0.00261522]],[[ 0.00067498]],[[ 0.00035466]],[[ 0.01140966]],[[ 0.01977145]],[[ 6.50554889]],[[ 0.42682858]],[[-0.01140966]],[[ 78.15142608]],[[ 0.64794754]],[[-0.04197808]],[[ 0.36340447]]
-0.6482,0.0349,0.0365,0.0137881010908,[[-0.64834491]],[[ 0.03468615]],[[ 0.03656822]],[[-0.00229254]],[[ 0.00115119]],[[ 0.00020276]],[[ 0.01198808]],[[ 0.02196784]],[[ 6.50161081]],[[ 0.43634473]],[[-0.01198808]],[[ 78.16084303]],[[ 0.64788251]],[[-0.04245589]],[[ 0.36343178]]
-0.6482,0.0349,0.0365,0.0137881010908,[[-0.64831592]],[[ 0.03476025]],[[ 0.03654852]],[[-0.00204888]],[[ 0.00144494]],[[ 0.00010078]],[[ 0.01247774]],[[ 0.02345936]],[[ 6.49862423]],[[ 0.44317247]],[[-0.01247774]],[[ 78.16723307]],[[ 0.64783173]],[[-0.04284685]],[[ 0.36345148]]
-0.648,0.0353,0.0364,0.0164060949687,[[-0.64823301]],[[ 0.03493615]],[[ 0.03650357]],[[-0.00158514]],[[ 0.00216907]],[[-0.00010534]],[[ 0.01333031]],[[ 0.0267324]],[[ 6.4926581]],[[ 0.45763947]],[[-0.01333031]],[[ 78.18040489]],[[ 0.64770972]],[[-0.04357394]],[[ 0.36349643]]
-0.648,0.0353,0.0364,0.0164060949687,[[-0.64817282]],[[ 0.0350624]],[[ 0.03647119]],[[-0.0012586]],[[ 0.00261804]],[[-0.00023986]],[[ 0.01405814]],[[ 0.02907334]],[[ 6.4883754]],[[ 0.4680621]],[[-0.01405814]],[[ 78.18915315]],[[ 0.64761587]],[[-0.04417074]],[[ 0.36352881]]
-0.648,0.0353,0.0364,0.0164060949687,[[-0.64812905]],[[ 0.03515284]],[[ 0.03644788]],[[-0.0010265]],[[ 0.00288271]],[[-0.00032598]],[[ 0.01467976]],[[ 0.03068944]],[[ 6.48527269]],[[ 0.47560559]],[[-0.01467976]],[[ 78.19488265]],[[ 0.6475432]],[[-0.04466309]],[[ 0.36355212]]
-0.648,0.0353,0.0364,0.0164060949687,[[-0.64809718]],[[ 0.03521746]],[[ 0.03643112]],[[-0.00085976]],[[ 0.00302434]],[[-0.00037938]],[[ 0.01521078]],[[ 0.03174233]],[[ 6.48300198]],[[ 0.48108135]],[[-0.01521078]],[[ 78.19855092]],[[ 0.64748654]],[[-0.04507107]],[[ 0.36356888]]
-0.648,0.0353,0.0364,0.0164060949687,[[-0.64807392]],[[ 0.03526345]],[[ 0.0364191]],[[-0.0007385]],[[ 0.00308429]],[[-0.00041071]],[[ 0.0156644]],[[ 0.03235831]],[[ 6.48132153]],[[ 0.48505878]],[[-0.0156644]],[[ 78.20081274]],[[ 0.64744206]],[[-0.04541039]],[[ 0.3635809]]
-0.648,0.0353,0.0364,0.0164060949687,[[-0.64805693]],[[ 0.035296]],[[ 0.0364105]],[[-0.00064905]],[[ 0.00309057]],[[-0.00042721]],[[ 0.01605176]],[[ 0.03263632]],[[ 6.48006262]],[[ 0.48794056]],[[-0.01605176]],[[ 78.20211714]],[[ 0.6474069]],[[-0.04569346]],[[ 0.3635895]]
-0.6478,0.0351,0.0363,0.0476474885794,[[-0.64798473]],[[ 0.03525913]],[[ 0.0363745]],[[-0.00037053]],[[ 0.00285065]],[[-0.00053953]],[[ 0.02107182]],[[ 0.05237236]],[[ 6.4740834]],[[ 0.51762331]],[[-0.02107182]],[[ 78.20987012]],[[ 0.64709796]],[[-0.04890451]],[[ 0.3636255]]
-0.6478,0.0351,0.0363,0.0476474885794,[[-0.64793235]],[[ 0.03523179]],[[ 0.03634853]],[[-0.00017873]],[[ 0.00265967]],[[-0.00060986]],[[ 0.0254465]],[[ 0.06800646]],[[ 6.46937159]],[[ 0.5436957]],[[-0.0254465]],[[ 78.21489578]],[[ 0.64682616]],[[-0.05170621]],[[ 0.36365147]]
