x,y,z,yaw,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk
0.0194,-0.0142,0.0437,0.011344640138,[[ 0.00188001]],[[-0.00137609]],[[ 0.00555295]],[[ 0.001946]],[[-0.00142439]],[[ 0.00608438]],[[ 0.00109938]],[[ 0.00113797]]
0.0194,-0.0142,0.0437,0.011344640138,[[ 0.00349228]],[[-0.0025562]],[[ 0.01006312]],[[ 0.0038815]],[[-0.0028411]],[[ 0.01218296]],[[ 0.0020422]],[[ 0.00226981]]
0.0194,-0.0142,0.0437,0.011344640138,[[ 0.00490174]],[[-0.00358787]],[[ 0.01384629]],[[ 0.0059377]],[[-0.00434615]],[[ 0.01880785]],[[ 0.00286642]],[[ 0.00347222]]
0.0194,-0.0142,0.0437,0.011344640138,[[ 0.00615787]],[[-0.00450731]],[[ 0.01711817]],[[ 0.00819704]],[[-0.0059999]],[[ 0.02622459]],[[ 0.00360097]],[[ 0.00479343]]
0.0194,-0.0142,0.0437,0.011344640138,[[ 0.00729895]],[[-0.00534253]],[[ 0.02003043]],[[ 0.01070501]],[[-0.00783563]],[[ 0.03452459]],[[ 0.00426824]],[[ 0.00626002]]
0.0194,-0.0142,0.0437,0.011344640138,[[ 0.00835472]],[[-0.00611531]],[[ 0.02269067]],[[ 0.01347687]],[[-0.00986451]],[[ 0.0436615]],[[ 0.00488563]],[[ 0.00788094]]
0.0194,-0.0142,0.0437,0.011344640138,[[ 0.00934811]],[[-0.00684243]],[[ 0.02517378]],[[ 0.01650154]],[[-0.01207844]],[[ 0.05347249]],[[ 0.00546654]],[[ 0.00964969]]
0.0191,-0.0135,0.0436,0.0275762021815,[[ 0.01027256]],[[-0.00748104]],[[ 0.02751873]],[[ 0.0196458]],[[-0.01422235]],[[ 0.06363919]],[[ 0.00730684]],[[ 0.01686948]]
0.0191,-0.0135,0.0436,0.0275762021815,[[ 0.01116459]],[[-0.00809686]],[[ 0.02976373]],[[ 0.02294514]],[[-0.01646884]],[[ 0.07387753]],[[ 0.00909544]],[[ 0.02455331]]
0.0191,-0.0135,0.0436,0.0275762021815,[[ 0.01203159]],[[-0.00869495]],[[ 0.03191914]],[[ 0.02632722]],[[-0.01876794]],[[ 0.0838029]],[[ 0.01084966]],[[ 0.03255658]]
0.0191,-0.0135,0.0436,0.0275762021815,[[ 0.01287704]],[[-0.00927765]],[[ 0.03398176]],[[ 0.02970628]],[[-0.02106068]],[[ 0.09301896]],[[ 0.01257833]],[[ 0.04070042]]
0.0191,-0.0135,0.0436,0.0275762021815,[[ 0.01370102]],[[-0.00984497]],[[ 0.035939]],[[ 0.03298865]],[[-0.02328279]],[[ 0.10115647]],[[ 0.01428272]],[[ 0.04878233]]
0.0191,-0.0135,0.0436,0.0275762021815,[[ 0.01450083]],[[-0.01039505]],[[ 0.03777314]],[[ 0.03607905]],[[-0.02536916]],[[ 0.10790933]],[[ 0.01595767]],[[ 0.05658937]]
0.0191,-0.0135,0.0436,0.0275762021815,[[ 0.01527176]],[[-0.01092465]],[[ 0.03946548]],[[ 0.03888746]],[[-0.02725844]],[[ 0.11306122]],[[ 0.01759312]],[[ 0.063913]]
0.0191,-0.0135,0.0436,0.0275762021815,[[ 0.01600792]],[[-0.01142975]],[[ 0.04099974]],[[ 0.04133547]],[[-0.02889746]],[[ 0.11649906]],[[ 0.01917572]],[[ 0.07056369]]
0.0176,-0.0087,0.0429,0.0109955742876,[[ 0.01654525]],[[-0.01140122]],[[ 0.04226707]],[[ 0.04222696]],[[-0.02661435]],[[ 0.1173765]],[[ 0.01894676]],[[ 0.06384321]]
0.0176,-0.0087,0.0429,0.0109955742876,[[ 0.01703663]],[[-0.01134312]],[[ 0.04336324]],[[ 0.04273027]],[[-0.02425304]],[[ 0.11671004]],[[ 0.0186466]],[[ 0.05700795]]
0.0176,-0.0087,0.0429,0.0109955742876,[[ 0.01747933]],[[-0.01125914]],[[ 0.04429037]],[[ 0.04284318]],[[-0.02185843]],[[ 0.11465247]],[[ 0.01828647]],[[ 0.05018578]]
0.0176,-0.0087,0.0429,0.0109955742876,[[ 0.01787183]],[[-0.01115346]],[[ 0.04505554]],[[ 0.04257895]],[[-0.01947362]],[[ 0.11139553]],[[ 0.01787861]],[[ 0.04349532]]
0.0179,-0.0092,0.043,-0.0511381470834,[[ 0.01824991]],[[-0.01109043]],[[ 0.04568489]],[[ 0.0422282]],[[-0.01757866]],[[ 0.10727866]],[[ 0.00998019]],[[-0.01776914]]
0.0179,-0.0092,0.043,-0.0511381470834,[[ 0.01857732]],[[-0.01101235]],[[ 0.0461754]],[[ 0.04153252]],[[-0.01571718]],[[ 0.10236156]],[[ 0.0023148]],[[-0.07267147]]
0.0179,-0.0092,0.043,-0.0511381470834,[[ 0.01885565]],[[-0.01092259]],[[ 0.04654161]],[[ 0.04053228]],[[-0.0139142]],[[ 0.09684414]],[[-0.00502236]],[[-0.12093904]]
0.0179,-0.0092,0.043,-0.0511381470834,[[ 0.01908744]],[[-0.01082435]],[[ 0.04679849]],[[ 0.03927169]],[[-0.01218979]],[[ 0.09090768]],[[-0.01195771]],[[-0.16253306]]
0.0179,-0.0092,0.043,-0.0511381470834,[[ 0.01927585]],[[-0.01072046]],[[ 0.04696066]],[[ 0.037796]],[[-0.01055899]],[[ 0.08471096]],[[-0.0184388]],[[-0.19760538]]
0.0179,-0.0092,0.043,-0.0511381470834,[[ 0.01942447]],[[-0.01061342]],[[ 0.04704196]],[[ 0.03614926]],[[-0.00903221]],[[ 0.07838922]],[[-0.0244324]],[[-0.22645305]]
0.0179,-0.0092,0.043,-0.0511381470834,[[ 0.01953711]],[[-0.01050533]],[[ 0.04705515]],[[ 0.03437279]],[[-0.00761577]],[[ 0.07205492]],[[-0.02992193]],[[-0.24947525]]
0.0198,-0.0068,0.0427,-0.0469493568786,[[ 0.0198701]],[[-0.01007899]],[[ 0.04696379]],[[ 0.03429654]],[[-0.00404858]],[[ 0.0654068]],[[-0.03434784]],[[-0.26318435]]
0.0198,-0.0068,0.0427,-0.0469493568786,[[ 0.02015788]],[[-0.00967598]],[[ 0.0468305]],[[ 0.0339068]],[[-0.00091659]],[[ 0.05897972]],[[-0.03831167]],[[-0.27259095]]
0.0198,-0.0068,0.0427,-0.0469493568786,[[ 0.02040345]],[[-0.00929811]],[[ 0.04666432]],[[ 0.03324968]],[[ 0.00180369]],[[ 0.05282409]],[[-0.04183062]],[[-0.27816491]]
0.0198,-0.0068,0.0427,-0.0469493568786,[[ 0.02061003]],[[-0.00894641]],[[ 0.04647306]],[[ 0.03236837]],[[ 0.00413899]],[[ 0.04697698]],[[-0.0449267]],[[-0.28036557]]
0.0198,-0.0068,0.0427,-0.0469493568786,[[ 0.02078087]],[[-0.00862123]],[[ 0.04626349]],[[ 0.03130263]],[[ 0.0061178]],[[ 0.04146438]],[[-0.04762507]],[[-0.2796314]]
0.0198,-0.0068,0.0427,-0.0469493568786,[[ 0.02091923]],[[-0.00832246]],[[ 0.04604142]],[[ 0.03008857]],[[ 0.00776926]],[[ 0.03630312]],[[-0.04995268]],[[-0.2763736]]
0.0202,-0.0053,0.0498,0.01308996939,[[ 0.02108229]],[[-0.00784692]],[[ 0.04694769]],[[ 0.02913321]],[[ 0.01052709]],[[ 0.04070344]],[[-0.04382584]],[[-0.21474456]]
0.0202,-0.0053,0.0498,0.01308996939,[[ 0.021215]],[[-0.00741165]],[[ 0.04774576]],[[ 0.0280361]],[[ 0.01280955]],[[ 0.0438695]],[[-0.03799062]],[[-0.1595321]]
0.0202,-0.0053,0.0498,0.01308996939,[[ 0.02132027]],[[-0.00701544]],[[ 0.0484427]],[[ 0.02682725]],[[ 0.01466063]],[[ 0.04595991]],[[-0.03246586]],[[-0.11037432]]
0.0202,-0.0053,0.0498,0.01308996939,[[ 0.02140088]],[[-0.0066568]],[[ 0.04904575]],[[ 0.02553342]],[[ 0.01612246]],[[ 0.04712099]],[[-0.02726343]],[[-0.06689731]]
0.0215,-0.0019,0.0494,0.0661479786506,[[ 0.02163511]],[[-0.00587462]],[[ 0.04949827]],[[ 0.02538805]],[[ 0.02039894]],[[ 0.04696976]],[[-0.01522023]],[[ 0.02065058]]
0.0215,-0.0019,0.0494,0.0661479786506,[[ 0.02183644]],[[-0.0051613]],[[ 0.04987726]],[[ 0.02502647]],[[ 0.02390389]],[[ 0.04623539]],[[-0.0040506]],[[ 0.09609352]]
0.0215,-0.0019,0.0494,0.0661479786506,[[ 0.02200749]],[[-0.00451417]],[[ 0.05018958]],[[ 0.02448159]],[[ 0.0267107]],[[ 0.04502046]],[[ 0.00625952]],[[ 0.16039527]]
0.0215,-0.0019,0.0494,0.0661479786506,[[ 0.02215075]],[[-0.00393025]],[[ 0.05044183]],[[ 0.0237834]],[[ 0.02888894]],[[ 0.04341725]],[[ 0.01573088]],[[ 0.21448739]]
0.0215,-0.0019,0.0494,0.0661479786506,[[ 0.02226868]],[[-0.00340638]],[[ 0.05064035]],[[ 0.02295914]],[[ 0.03050422]],[[ 0.04150825]],[[ 0.02438951]],[[ 0.25926478]]
0.0215,-0.0019,0.0494,0.0661479786506,[[ 0.02236361]],[[-0.00293928]],[[ 0.05079114]],[[ 0.02203346]],[[ 0.03161821]],[[ 0.03936673]],[[ 0.03226554]],[[ 0.29558267]]
0.0199,0.0047,0.083,0.0720820981074,[[ 0.02222198]],[[-0.00163548]],[[ 0.05626421]],[[ 0.01954517]],[[ 0.03840746]],[[ 0.0805331]],[[ 0.04019253]],[[ 0.32975628]]
0.0199,0.0047,0.083,0.0720820981074,[[ 0.02207799]],[[-0.00044895]],[[ 0.06120958]],[[ 0.01721144]],[[ 0.04392458]],[[ 0.11409293]],[[ 0.04734531]],[[ 0.35626186]]
