x,y,z,yaw,vzcam,xk,yk,zk,rollk,pitchk,yawk,vxk,vyk,vzk,vrollk,vpitchk,vyawk,pitch_con,roll_con,yaw_con,thrust_cam,xd,yd,zd,rolld,pitchd,yawd
-0.03,-0.002,0.0404,0.0600393262686,-0.00344828009559,[[-0.03000434]],[[-0.00153093]],[[ 0.04034462]],[[-0.18561148]],[[-0.00445845]],[[ 0.05993994]],[[-0.00012911]],[[ 0.02587058]],[[-0.00320167]],[[ 0.14544516]],[[ 0.10806262]],[[ 0.05056118]],[[ 0.71629672]],[[ 0.64742453]],[[ 1.69187215]],[[ 70.03201674]],[[ 0.03004216]],[[-0.0002692]],[[ 0.35965538]],-0.183913096786,-0.00373016577214,-158.349533081
-0.03,-0.002,0.0404,0.0600393262686,-0.00344828009559,[[-0.03000407]],[[-0.00147413]],[[ 0.04033685]],[[-0.00434]],[[ 0.12479126]],[[ 0.06036219]],[[-0.00011095]],[[ 0.02352319]],[[-0.00291979]],[[ 0.99634871]],[[ 0.71456539]],[[ 0.04969175]],[[ 0.7189577]],[[ 0.58905007]],[[ 1.70440349]],[[ 70.0291979]],[[ 0.03003835]],[[-0.00033856]],[[ 0.35966315]],0.0982913076878,0.197944283485,-158.241592407
-0.0297,-0.0029,0.0405,0.0532325421858,0.00125000119209,[[-0.02992465]],[[-0.00167724]],[[ 0.04035841]],[[ 0.06454229]],[[ 0.17390482]],[[ 0.05932539]],[[ 0.00076059]],[[ 0.01877932]],[[-0.00237048]],[[ 1.2630665]],[[ 0.90454872]],[[ 0.03445168]],[[ 0.70345593]],[[ 0.46797534]],[[ 1.68232148]],[[ 70.02370475]],[[ 0.02997145]],[[ -9.99579456e-05]],[[ 0.35964159]],0.0982913076878,0.197944283485,-158.241592407
-0.0297,-0.0029,0.0405,0.0532325421858,0.00125000119209,[[-0.02986239]],[[-0.00184462]],[[ 0.04037633]],[[ 0.67727932]],[[ 0.75297056]],[[ 0.05840608]],[[ 0.00131423]],[[ 0.01518123]],[[-0.00194884]],[[ 3.86721611]],[[ 3.37814018]],[[ 0.02249919]],[[ 0.69416606]],[[ 0.3745216]],[[ 1.66196132]],[[ 70.01948839]],[[ 0.02991915]],[[  9.83247846e-05]],[[ 0.35962367]],1.02214825153,1.08054959774,-158.256668091
-0.0297,-0.0029,0.0405,0.0532325421858,0.00125000119209,[[-0.02981327]],[[-0.00198378]],[[ 0.04039135]],[[ 1.17151315]],[[ 1.21016764]],[[ 0.05759935]],[[ 0.00165714]],[[ 0.01240757]],[[-0.00161991]],[[ 5.7658625]],[[ 5.14281161]],[[ 0.01321156]],[[ 0.6889532]],[[ 0.30070895]],[[ 1.64349416]],[[ 70.01619909]],[[ 0.02987803]],[[ 0.00026422]],[[ 0.35960865]],1.43409776688,1.45422339439,-158.28137207
-0.0297,-0.0029,0.0405,0.0532325421858,0.00125000119209,[[-0.02977432]],[[-0.00210048]],[[ 0.04040404]],[[ 1.77524808]],[[ 1.80761948]],[[ 0.05689627]],[[ 0.00185888]],[[ 0.01023727]],[[-0.00135943]],[[ 7.9554673]],[[ 7.33220556]],[[ 0.00604919]],[[ 0.68643777]],[[ 0.24280087]],[[ 1.62693349]],[[ 70.01359433]],[[ 0.02984559]],[[ 0.00040395]],[[ 0.35959596]],2.09086799622,2.12320899963,-158.384567261
-0.0297,-0.0029,0.0405,0.0532325421858,0.00125000119209,[[-0.02974331]],[[-0.00219917]],[[ 0.04041487]],[[ 2.67410581]],[[ 2.63749485]],[[ 0.05628611]],[[ 0.00196527]],[[ 0.00851566]],[[-0.00115031]],[[ 11.12118641]],[[ 10.2554649]],[[ 0.00056366]],[[ 0.68571558]],[[ 0.19675101]],[[ 1.61219649]],[[ 70.01150312]],[[ 0.02981992]],[[ 0.00052243]],[[ 0.35958513]],3.14883923531,3.07586884499,-158.529144287
-0.0297,-0.0029,0.0405,0.0532325421858,0.00125000119209,[[-0.02971856]],[[-0.00228327]],[[ 0.04042418]],[[ 3.01528037]],[[ 2.95248785]],[[ 0.05575783]],[[ 0.00200689]],[[ 0.00713276]],[[-0.0009803]],[[ 11.97871841]],[[ 11.04764853]],[[-0.00360785]],[[ 0.68618628]],[[ 0.15967508]],[[ 1.59914822]],[[ 70.00980296]],[[ 0.02979962]],[[ 0.00062353]],[[ 0.35957582]],3.14883923531,3.07586884499,-158.529144287
-0.0309,-0.0004,0.0402,0.00750491578358,-0.0039473573257,[[-0.02994912]],[[-0.00183398]],[[ 0.04036966]],[[ 3.36670171]],[[ 3.26150276]],[[ 0.04756966]],[[  4.48743483e-05]],[[ 0.01009159]],[[-0.00133036]],[[ 12.81348603]],[[ 11.76314511]],[[-0.06454732]],[[ 0.73723387]],[[ 0.24178128]],[[ 1.39504402]],[[ 70.0133036]],[[ 0.03000245]],[[ 0.00040778]],[[ 0.35963034]],3.50152134895,3.37705945969,-158.605514526
-0.0309,-0.0004,0.0402,0.00750491578358,-0.0039473573257,[[-0.03014139]],[[-0.00146301]],[[ 0.04032468]],[[ 3.80331892]],[[ 3.81796068]],[[ 0.04046856]],[[-0.00140649]],[[ 0.01212533]],[[-0.0015689]],[[ 13.88927723]],[[ 13.29349413]],[[-0.11079765]],[[ 0.76080293]],[[ 0.29827052]],[[ 1.21473759]],[[ 70.01568895]],[[ 0.0301759]],[[ 0.00024237]],[[ 0.35967532]],3.98322629929,4.07388496399,-158.86567688
