x,y,z,yaw,vzcam,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk,pitch,roll,yaw,thrust,xd,yd,zd
-0.2934,-0.0966,0.0363,-0.11815879036,0.00535714340453,[[-0.293582]],[[-0.09675333]],[[ 0.03602652]],[[ 0.00456167]],[[ 0.00929914]],[[-0.00171558]],[[-0.13131467]],[[ 0.04970111]],[[ 2.75081003]],[[-1.24544897]],0,[[ 78.31876454]],[[ 0.27838579]],[[ 0.13436127]],[[ 0.36397348]]
-0.2934,-0.0966,0.0363,-0.11815879036,0.00535714340453,[[-0.29349232]],[[-0.09664084]],[[ 0.03607257]],[[ 0.00483053]],[[ 0.00941809]],[[-0.00119572]],[[-0.12839284]],[[ 0.0665339]],[[ 2.75117772]],[[-1.23465187]],0,[[ 78.2800719]],[[ 0.27870264]],[[ 0.13342426]],[[ 0.36392743]]
-0.2934,-0.0966,0.0363,-0.11815879036,0.00535714340453,[[-0.29342995]],[[-0.09656371]],[[ 0.03611096]],[[ 0.00491155]],[[ 0.00931991]],[[-0.00079935]],[[-0.12593777]],[[ 0.07837563]],[[ 2.7527515]],[[-1.22792255]],0,[[ 78.2504068]],[[ 0.27897717]],[[ 0.13265527]],[[ 0.36388904]]
-0.2934,-0.0966,0.0363,-0.11815879036,0.00535714340453,[[-0.2933869]],[[-0.09651151]],[[ 0.03614316]],[[ 0.00487847]],[[ 0.00909644]],[[-0.00049523]],[[-0.12387605]],[[ 0.08644423]],[[ 2.7549668]],[[-1.22393182]],0,[[ 78.22750827]],[[ 0.27921381]],[[ 0.13202269]],[[ 0.36385684]]
-0.2934,-0.0966,0.0363,-0.11815879036,0.00535714340453,[[-0.29335754]],[[-0.09647688]],[[ 0.0361703]],[[ 0.00477797]],[[ 0.00880501]],[[-0.00026089]],[[-0.12214522]],[[ 0.09167003]],[[ 2.75747433]],[[-1.22179709]],0,[[ 78.20974711]],[[ 0.27941698]],[[ 0.13150127]],[[ 0.3638297]]
-0.2924,-0.0979,0.0364,-0.136484747506,0.00192307523017,[[-0.29302637]],[[-0.09685956]],[[ 0.03621263]],[[ 0.0061728]],[[ 0.00648812]],[[  5.68035976e-05]],[[-0.12389194]],[[ 0.07630423]],[[ 2.7348723]],[[-1.25126763]],0,[[ 78.18539225]],[[ 0.27881094]],[[ 0.13232795]],[[ 0.36378737]]
-0.2924,-0.0979,0.0364,-0.136484747506,0.00192307523017,[[-0.29278999]],[[-0.09713657]],[[ 0.03624851]],[[ 0.00699255]],[[ 0.0048834]],[[ 0.00029941]],[[-0.12541056]],[[ 0.06369905]],[[ 2.72013679]],[[-1.27276792]],0,[[ 78.16661531]],[[ 0.27834049]],[[ 0.13299648]],[[ 0.36375149]]
-0.2924,-0.0979,0.0364,-0.136484747506,0.00192307523017,[[-0.29262169]],[[-0.09733739]],[[ 0.03627901]],[[ 0.00743376]],[[ 0.0037637]],[[ 0.00048356]],[[-0.12673287]],[[ 0.05332179]],[[ 2.71073616]],[[-1.28869259]],0,[[ 78.15220048]],[[ 0.27797205]],[[ 0.13354235]],[[ 0.36372099]]
-0.2924,-0.0979,0.0364,-0.136484747506,0.00192307523017,[[-0.29250233]],[[-0.09748317]],[[ 0.03630495]],[[ 0.00762711]],[[ 0.00297608]],[[ 0.0006218]],[[-0.12788612]],[[ 0.04474884]],[[ 2.7049561]],[[-1.30067687]],0,[[ 78.14122645]],[[ 0.27768088]],[[ 0.1339922]],[[ 0.36369505]]
-0.2924,-0.0979,0.0364,-0.136484747506,0.00192307523017,[[-0.29241814]],[[-0.09758915]],[[ 0.03632705]],[[ 0.00765973]],[[ 0.00241701]],[[ 0.00072372]],[[-0.12889362]],[[ 0.03764244]],[[ 2.70163107]],[[-1.30984662]],0,[[ 78.13298733]],[[ 0.27744862]],[[ 0.13436618]],[[ 0.36367295]]
-0.2924,-0.0979,0.0364,-0.136484747506,0.00192307523017,[[-0.29235922]],[[-0.09766632]],[[ 0.03634585]],[[ 0.00758976]],[[ 0.00201605]],[[ 0.00079673]],[[-0.12977526]],[[ 0.03173242]],[[ 2.69996609]],[[-1.31698331]],0,[[ 78.1269365]],[[ 0.27726165]],[[ 0.13467962]],[[ 0.36365415]]
-0.2898,-0.0989,0.0466,-0.150796447372,0.182142875754,[[-0.29153557]],[[-0.0980237]],[[ 0.03813377]],[[ 0.01043672]],[[ 0.0005786]],[[ 0.01186151]],[[-0.13276828]],[[ 0.01675989]],[[ 2.65725324]],[[-1.33798971]],0,[[ 77.26300578]],[[ 0.2759936]],[[ 0.13575408]],[[ 0.36186623]]
-0.2898,-0.0989,0.0466,-0.150796447372,0.182142875754,[[-0.29094207]],[[-0.09828242]],[[ 0.03968535]],[[ 0.01223118]],[[-0.00039177]],[[ 0.02065533]],[[-0.13537628]],[[ 0.00466129]],[[ 2.62843475]],[[-1.35387081]],0,[[ 76.56985951]],[[ 0.27501562]],[[ 0.13664965]],[[ 0.36031465]]
-0.2898,-0.0989,0.0466,-0.150796447372,0.182142875754,[[-0.29051515]],[[-0.09846964]],[[ 0.04103133]],[[ 0.01330942]],[[-0.00104063]],[[ 0.02757122]],[[-0.13765131]],[[-0.00510076]],[[ 2.60929137]],[[-1.36606348]],0,[[ 76.01844802]],[[ 0.27425546]],[[ 0.13740184]],[[ 0.35896867]]
-0.2898,-0.0989,0.0466,-0.150796447372,0.182142875754,[[-0.29020881]],[[-0.09860504]],[[ 0.04219777]],[[ 0.01390184]],[[-0.00146806]],[[ 0.03292718]],[[-0.13963787]],[[-0.01295871]],[[ 2.59688897]],[[-1.37556692]],0,[[ 75.58520893]],[[ 0.27365976]],[[ 0.13803784]],[[ 0.35780223]]
-0.2898,-0.0989,0.0466,-0.150796447372,0.182142875754,[[-0.28998976]],[[-0.09870287]],[[ 0.04320688]],[[ 0.01416655]],[[-0.00174305]],[[ 0.03698285]],[[-0.14137406]],[[-0.01926174]],[[ 2.5891822]],[[-1.38308286]],0,[[ 75.25085639]],[[ 0.27318903]],[[ 0.13857874]],[[ 0.35679312]]
-0.2898,-0.0989,0.0466,-0.150796447372,0.182142875754,[[-0.28983387]],[[-0.09877344]],[[ 0.04407774]],[[ 0.01421209]],[[-0.00191323]],[[ 0.03995209]],[[-0.14289256]],[[-0.02429266]],[[ 2.58474235]],[[-1.38910911]],0,[[ 74.9994664]],[[ 0.27281394]],[[ 0.13904107]],[[ 0.35592226]]
