x,y,z,yaw,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk,pitch,roll,yaw,thrust,xd,yd,zd
-0.0852,0.0069,0.031,0.00994837673637,[[-0.08511163]],[[ 0.00649255]],[[ 0.03109653]],[[-0.00215399]],[[ 0.00111956]],[[-0.0006599]],[[ 0.]],[[ 0.]],[[ 0.87265623]],[[ 0.07612105]],[[-0.]],80,[[ 0.08511163]],[[-0.00649255]],[[ 0.36890347]]
-0.0852,0.0069,0.031,0.00994837673637,[[-0.08515453]],[[ 0.00663041]],[[ 0.03107102]],[[-0.00227702]],[[ 0.00184898]],[[-0.0008088]],[[ 0.]],[[ 0.]],[[ 0.87431548]],[[ 0.08479393]],[[-0.]],80,[[ 0.08515453]],[[-0.00663041]],[[ 0.36892898]]
-0.0852,0.0069,0.031,0.00994837673637,[[-0.08518449]],[[ 0.00672841]],[[ 0.03105009]],[[-0.00231619]],[[ 0.00228234]],[[-0.00090593]],[[ 0.]],[[ 0.]],[[ 0.87500678]],[[ 0.09010742]],[[-0.]],80,[[ 0.08518449]],[[-0.00672841]],[[ 0.36894991]]
-0.0852,0.0069,0.031,0.00994837673637,[[-0.08520525]],[[ 0.00679793]],[[ 0.03103289]],[[-0.00230376]],[[ 0.00252394]],[[-0.00096536]],[[ 0.]],[[ 0.]],[[ 0.87509013]],[[ 0.09321868]],[[-0.]],80,[[ 0.08520525]],[[-0.00679793]],[[ 0.36896711]]
-0.0852,0.0069,0.031,0.00994837673637,[[-0.08521948]],[[ 0.0068471]],[[ 0.03101874]],[[-0.0022604]],[[ 0.00264173]],[[-0.00099714]],[[ 0.]],[[ 0.]],[[ 0.87479871]],[[ 0.09488833]],[[-0.]],80,[[ 0.08521948]],[[-0.0068471]],[[ 0.36898126]]
-0.0852,0.0069,0.031,0.00994837673637,[[-0.08522906]],[[ 0.00688171]],[[ 0.03100711]],[[-0.0021993]],[[ 0.00268017]],[[-0.00100853]],[[ 0.]],[[ 0.]],[[ 0.87428368]],[[ 0.09561885]],[[-0.]],80,[[ 0.08522906]],[[-0.00688171]],[[ 0.36899289]]
-0.0853,0.0058,0.0325,0.0141371669412,[[-0.0852661]],[[ 0.00656781]],[[ 0.03127534]],[[-0.00226677]],[[ 0.00115208]],[[ 0.00085532]],[[ 0.]],[[ 0.]],[[ 0.87532873]],[[ 0.07719891]],[[-0.]],80,[[ 0.0852661]],[[-0.00656781]],[[ 0.36872466]]
-0.0853,0.0058,0.0325,0.0141371669412,[[-0.0852922]],[[ 0.00634119]],[[ 0.03150493]],[[-0.00228151]],[[ 0.00012948]],[[ 0.00230256]],[[ 0.]],[[ 0.]],[[ 0.87573712]],[[ 0.06470663]],[[-0.]],80,[[ 0.0852922]],[[-0.00634119]],[[ 0.36849507]]
-0.0853,0.0058,0.0325,0.0141371669412,[[-0.08531045]],[[ 0.00617759]],[[ 0.03170168]],[[-0.00226272]],[[-0.00054964]],[[ 0.00341787]],[[ 0.]],[[ 0.]],[[ 0.87573167]],[[ 0.05627955]],[[-0.]],80,[[ 0.08531045]],[[-0.00617759]],[[ 0.36829832]]
-0.0853,0.0058,0.0325,0.0141371669412,[[-0.08532307]],[[ 0.00605955]],[[ 0.0318704]],[[-0.00222313]],[[-0.00099498]],[[ 0.00426678]],[[ 0.]],[[ 0.]],[[ 0.875462]],[[ 0.05064571]],[[-0.]],80,[[ 0.08532307]],[[-0.00605955]],[[ 0.3681296]]
-0.0853,0.0058,0.0325,0.0141371669412,[[-0.08533166]],[[ 0.00597444]],[[ 0.03201503]],[[-0.00217119]],[[-0.00128113]],[[ 0.00490061]],[[ 0.]],[[ 0.]],[[ 0.87502851]],[[ 0.04693316]],[[-0.]],80,[[ 0.08533166]],[[-0.00597444]],[[ 0.36798497]]
-0.085,0.007,0.0323,0.00244346095279,[[-0.08524741]],[[ 0.006273]],[[ 0.03210454]],[[-0.00178245]],[[-0.00013883]],[[ 0.00514919]],[[ 0.]],[[ 0.]],[[ 0.87029857]],[[ 0.06134167]],[[-0.]],80,[[ 0.08524741]],[[-0.006273]],[[ 0.36789546]]
