x,y,z,yaw,vzcam,xk,yk,zk,vxk,vyk,vzk,yawk,vyawk,pitch,roll,yaw,thrust,xd,yd,zd
-0.2563,0.0132,0.0344,0.0162315620435,0.0,[[-0.25634593]],[[ 0.01309494]],[[ 0.0344397]],[[-0.00236247]],[[-0.00642958]],[[ 0.00201184]],[[ 0.00802898]],[[ 0.06392215]],[[ 2.58646537]],[[ 0.08742287]],0,[[ 78.13718582]],[[ 0.25623252]],[[-0.01515269]],[[ 0.3655603]]
-0.2563,0.0132,0.0344,0.0162315620435,0.0,[[-0.25634708]],[[ 0.01308536]],[[ 0.03444681]],[[-0.00222536]],[[-0.00609572]],[[ 0.00190484]],[[ 0.01011697]],[[ 0.07397933]],[[ 2.58488495]],[[ 0.09605209]],0,[[ 78.14432045]],[[ 0.25620158]],[[-0.0156781]],[[ 0.36555319]]
-0.2563,0.0132,0.0344,0.0162315620435,0.0,[[-0.25634717]],[[ 0.01308053]],[[ 0.03445201]],[[-0.00209773]],[[-0.00577248]],[[ 0.00179579]],[[ 0.01186206]],[[ 0.08063089]],[[ 2.58340035]],[[ 0.10373157]],0,[[ 78.15169391]],[[ 0.25617398]],[[-0.01612035]],[[ 0.36554799]]
-0.2563,0.0132,0.0344,0.0162315620435,0.0,[[-0.25634657]],[[ 0.01307891]],[[ 0.03445569]],[[-0.00198012]],[[-0.00546668]],[[ 0.0016878]],[[ 0.01331934]],[[ 0.08474083]],[[ 2.58202394]],[[ 0.11052195]],0,[[ 78.15906913]],[[ 0.25614963]],[[-0.01649202]],[[ 0.36554431]]
-0.2564,0.0141,0.0342,0.00645771823238,-0.00357142893635,[[-0.25637693]],[[ 0.01336195]],[[ 0.0344185]],[[-0.00203474]],[[-0.00371968]],[[ 0.00129302]],[[ 0.01279043]],[[ 0.0764393]],[[ 2.58267202]],[[ 0.12946582]],0,[[ 78.18856405]],[[ 0.25618506]],[[-0.01663993]],[[ 0.3655815]]
-0.2564,0.0141,0.0342,0.00645771823238,-0.00357142893635,[[-0.25639812]],[[ 0.01356624]],[[ 0.03438666]],[[-0.00203891]],[[-0.00253108]],[[ 0.00097652]],[[ 0.01231581]],[[ 0.06929123]],[[ 2.58281536]],[[ 0.14217102]],0,[[ 78.21231021]],[[ 0.2562116]],[[-0.01672288]],[[ 0.36561334]]
-0.2564,0.0141,0.0342,0.00645771823238,-0.00357142893635,[[-0.25641279]],[[ 0.01371386]],[[ 0.03435929]],[[-0.00201204]],[[-0.00171942]],[[ 0.00072141]],[[ 0.01188958]],[[ 0.06310842]],[[ 2.58263953]],[[ 0.15066086]],0,[[ 78.23153644]],[[ 0.25623162]],[[-0.01676146]],[[ 0.36564071]]
-0.2564,0.0141,0.0342,0.00645771823238,-0.00357142893635,[[-0.25642279]],[[ 0.01382063]],[[ 0.03433567]],[[-0.00196667]],[[-0.00116342]],[[ 0.00051493]],[[ 0.01150632]],[[ 0.05773605]],[[ 2.58226728]],[[ 0.15629425]],0,[[ 78.24717132]],[[ 0.2562468]],[[-0.01677014]],[[ 0.36566433]]
-0.2564,0.0141,0.0342,0.00645771823238,-0.00357142893635,[[-0.25642949]],[[ 0.01389792]],[[ 0.03431523]],[[-0.00191096]],[[-0.00078157]],[[ 0.00034734]],[[ 0.01116118]],[[ 0.05304664]],[[ 2.58177964]],[[ 0.15998855]],0,[[ 78.25992474]],[[ 0.2562584]],[[-0.01675905]],[[ 0.36568477]]
-0.2564,0.0122,0.0345,0.00593411945678,0.00576925214234,[[-0.25643382]],[[ 0.0133764]],[[ 0.0343511]],[[-0.00185013]],[[-0.00289736]],[[ 0.00055536]],[[ 0.0107656]],[[ 0.04852367]],[[ 2.58156173]],[[ 0.13258954]],0,[[ 78.24356966]],[[ 0.25627496]],[[-0.01613623]],[[ 0.3656489]]
-0.2564,0.0122,0.0345,0.00593411945678,0.00576925214234,[[-0.2564365]],[[ 0.01300036]],[[ 0.03438189]],[[-0.0017875]],[[-0.00427064]],[[ 0.00071461]],[[ 0.01041134]],[[ 0.04457993]],[[ 2.58119118]],[[ 0.11417654]],0,[[ 78.2308829]],[[ 0.25628725]],[[-0.01566946]],[[ 0.36561811]]
-0.2564,0.0122,0.0345,0.00593411945678,0.00576925214234,[[-0.256438]],[[ 0.01272952]],[[ 0.03440832]],[[-0.00172517]],[[-0.00513924]],[[ 0.00083443]],[[ 0.0100934]],[[ 0.04112561]],[[ 2.58073406]],[[ 0.10195588]],0,[[ 78.22117412]],[[ 0.25629646]],[[-0.01531716]],[[ 0.36559168]]
-0.2564,0.0122,0.0345,0.00593411945678,0.00576925214234,[[-0.25643868]],[[ 0.01253475]],[[ 0.03443097]],[[-0.00166438]],[[-0.00566523]],[[ 0.00092222]],[[ 0.00980747]],[[ 0.0380866]],[[ 2.58023282]],[[ 0.09400496]],0,[[ 78.21389602]],[[ 0.25630342]],[[-0.01504913]],[[ 0.36556903]]
-0.2564,0.0122,0.0345,0.00593411945678,0.00576925214234,[[-0.2564388]],[[ 0.01239503]],[[ 0.03445035]],[[-0.00160588]],[[-0.00595928]],[[ 0.00098389]],[[ 0.00954975]],[[ 0.0354015]],[[ 2.57971457]],[[ 0.08899687]],0,[[ 78.20861048]],[[ 0.25630874]],[[-0.01484336]],[[ 0.36554965]]
-0.2564,0.0122,0.0345,0.00593411945678,0.00576925214234,[[-0.25643853]],[[ 0.01229513]],[[ 0.03446689]],[[-0.00155004]],[[-0.00609713]],[[ 0.00102417]],[[ 0.00931698]],[[ 0.03301927]],[[ 2.57919631]],[[ 0.0860137]],0,[[ 78.20496348]],[[ 0.25631285]],[[-0.01468379]],[[ 0.36553311]]
-0.2575,0.0123,0.0403,0.00506145483078,0.0950817977511,[[-0.25676432]],[[ 0.01225369]],[[ 0.03544905]],[[-0.00257628]],[[-0.00603253]],[[ 0.00682234]],[[ 0.00897917]],[[ 0.03039855]],[[ 2.59274285]],[[ 0.08549544]],0,[[ 77.74998388]],[[ 0.25664394]],[[-0.01455869]],[[ 0.36455095]]
-0.2575,0.0123,0.0403,0.00506145483078,0.0950817977511,[[-0.25700003]],[[ 0.0122249]],[[ 0.03630989]],[[-0.00324859]],[[-0.00593154]],[[ 0.01151956]],[[ 0.00867669]],[[ 0.0280974]],[[ 2.60184213]],[[ 0.08551194]],0,[[ 77.3781366]],[[ 0.25688428]],[[-0.01445432]],[[ 0.36369011]]
-0.2575,0.0123,0.0403,0.00506145483078,0.0950817977511,[[-0.25717036]],[[ 0.01220522]],[[ 0.03706326]],[[-0.00367644]],[[-0.00580852]],[[ 0.01528071]],[[ 0.00840536]],[[ 0.02606889]],[[ 2.60783821]],[[ 0.0858896]],0,[[ 77.07718719]],[[ 0.25705869]],[[-0.01436637]],[[ 0.36293674]]
-0.2575,0.0123,0.0403,0.00506145483078,0.0950817977511,[[-0.25729325]],[[ 0.01219209]],[[ 0.03772123]],[[-0.00393578]],[[-0.00567316]],[[ 0.01824439]],[[ 0.0081615]],[[ 0.02427381]],[[ 2.61167125]],[[ 0.08650711]],0,[[ 76.83683118]],[[ 0.25718518]],[[-0.01429156]],[[ 0.36227877]]
-0.2575,0.0123,0.0403,0.00506145483078,0.0950817977511,[[-0.25738171]],[[ 0.01218365]],[[ 0.03829437]],[[-0.00407934]],[[-0.00553195]],[[ 0.02052796]],[[ 0.00794196]],[[ 0.02267937]],[[ 2.61399976]],[[ 0.08727979]],0,[[ 76.64832428]],[[ 0.25727683]],[[-0.01422736]],[[ 0.36170563]]
-0.2575,0.0123,0.0403,0.00506145483078,0.0950817977511,[[-0.25744518]],[[ 0.01217856]],[[ 0.038792]],[[-0.00414378]],[[-0.0053892]],[[ 0.0222315]],[[ 0.00774395]],[[ 0.02125796]],[[ 2.61528542]],[[ 0.08814866]],0,[[ 76.50419495]],[[ 0.25734315]],[[-0.01417182]],[[ 0.361208]]
-0.2552,0.0137,0.0541,0.00523598775598,0.230000219345,[[-0.25681905]],[[ 0.01258458]],[[ 0.04145557]],[[-0.00229862]],[[-0.00411801]],[[ 0.03642183]],[[ 0.00758865]],[[ 0.02006296]],[[ 2.59045962]],[[ 0.10432665]],0,[[ 75.37769295]],[[ 0.25671615]],[[-0.01453311]],[[ 0.35854443]]
-0.2552,0.0137,0.0541,0.00523598775598,0.230000219345,[[-0.25636368]],[[ 0.01288034]],[[ 0.04380122]],[[-0.00101161]],[[-0.00321147]],[[ 0.04791657]],[[ 0.00744761]],[[ 0.01898475]],[[ 2.57296141]],[[ 0.11585414]],0,[[ 74.45577899]],[[ 0.25626064]],[[-0.01478926]],[[ 0.35619878]]
